equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;ssd2;write;32;0;8;30;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;31;2000;2000;2000;2000;3000;3000;2000;3000
pc;ssd2;write;32;0;8;32;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;33;1000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;34;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;35;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;36;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;37;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;38;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;39;2000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;40;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;41;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;42;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;write;32;0;8;43;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;44;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;45;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;47;3000;3000;2000;2000;3000;3000;2000;3000
pc;ssd2;write;32;0;8;48;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;49;3000;3000;3000;3000;2000;3000;3000;3000
pc;ssd2;write;32;0;8;50;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;51;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;52;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;54;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;56;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;57;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;58;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;59;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;8;60;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;0;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;1;3000;3000;3000;4000;3000;3000;4000;3000
pc;ssd2;read;32;0;8;2;3000;3000;3000;3000;3000;3000;2000;4000
pc;ssd2;read;32;0;8;3;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;4;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;5;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;6;2000;3000;3000;2000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;7;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;8;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;9;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;10;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;11;3000;3000;3000;3000;3000;2000;3000;2000
pc;ssd2;read;32;0;8;12;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;14;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;15;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;16;3000;3000;3000;2000;3000;2000;3000;3000
pc;ssd2;read;32;0;8;17;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;read;32;0;8;18;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;19;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;20;2000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;21;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;22;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;23;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;24;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;25;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;26;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;27;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;28;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;29;3000;3000;3000;3000;2000;3000;2000;3000
pc;ssd2;read;32;0;8;30;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;read;32;0;8;31;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;read;32;0;8;32;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;33;3000;3000;3000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;34;3000;3000;3000;2000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;35;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;36;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;37;3000;3000;3000;3000;3000;3000;3000;4000
pc;ssd2;read;32;0;8;38;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;39;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;40;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;41;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;42;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;43;3000;3000;2000;2000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;44;3000;2000;3000;3000;3000;2000;3000;3000
pc;ssd2;read;32;0;8;45;3000;3000;3000;2000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;47;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;48;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;49;3000;3000;3000;4000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;50;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;51;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;52;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;54;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;56;3000;3000;3000;3000;2000;3000;2000;2000
pc;ssd2;read;32;0;8;57;3000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;read;32;0;8;58;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;8;59;3000;2000;3000;3000;2000;2000;3000;3000
pc;ssd2;read;32;0;8;60;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;8;61;3000;3000;3000;3000;2000;3000;2000;3000
